iter	Passed	Remaining
0	134	133901
1	134	67209
2	135	44983
3	135	33856
4	136	27183
5	137	22747
6	137	19573
7	138	17196
8	139	15345
9	140	13861
10	140	12648
11	141	11637
12	142	10788
13	143	10073
14	143	9437
15	144	8879
16	145	8389
17	145	7958
18	146	7569
19	147	7221
20	148	6903
21	148	6612
22	149	6347
23	150	6102
24	150	5876
25	151	5667
26	151	5474
27	152	5295
28	153	5128
29	153	4973
30	154	4827
31	155	4691
32	155	4567
33	156	4452
34	157	4342
35	158	4236
36	159	4139
37	159	4047
38	160	3960
39	161	3872
40	161	3788
41	162	3715
42	163	3641
43	164	3574
44	165	3508
45	166	3443
46	166	3381
47	167	3322
48	168	3264
49	168	3210
50	169	3158
51	170	3106
52	171	3058
53	172	3015
54	172	2971
55	173	2929
56	174	2889
57	175	2849
58	176	2812
59	177	2775
60	178	2742
61	178	2707
62	180	2677
63	181	2647
64	181	2616
65	182	2584
66	183	2553
67	184	2527
68	185	2499
69	186	2472
70	187	2447
71	187	2422
72	188	2395
73	189	2369
74	190	2344
75	190	2321
76	191	2299
77	192	2275
78	193	2251
79	193	2229
80	194	2206
81	195	2184
82	195	2159
83	196	2138
84	197	2127
85	199	2117
86	199	2097
87	200	2078
88	201	2060
89	202	2044
90	203	2027
91	203	2010
92	204	1994
93	205	1978
94	206	1963
95	206	1946
96	207	1930
97	208	1915
98	208	1899
99	209	1883
100	209	1868
101	210	1854
102	211	1839
103	211	1825
104	212	1811
105	213	1798
106	213	1784
107	214	1772
108	215	1760
109	216	1749
110	216	1737
111	217	1726
112	218	1715
113	219	1703
114	219	1692
115	220	1682
116	221	1670
117	222	1660
118	222	1650
119	223	1640
120	224	1630
121	225	1620
122	226	1613
123	227	1604
124	227	1594
125	228	1587
126	229	1577
127	230	1568
128	230	1559
129	231	1551
130	232	1543
131	233	1535
132	234	1526
133	234	1517
134	235	1510
135	236	1502
136	237	1494
137	237	1486
138	238	1477
139	239	1469
140	239	1460
141	240	1451
142	240	1442
143	241	1435
144	242	1427
145	242	1419
146	243	1412
147	243	1404
148	244	1396
149	245	1388
150	245	1381
151	246	1373
152	246	1366
153	247	1358
154	247	1351
155	248	1344
156	249	1337
157	249	1330
158	250	1324
159	250	1317
160	251	1309
161	251	1303
162	252	1297
163	253	1290
164	253	1283
165	254	1277
166	254	1271
167	255	1265
168	256	1259
169	256	1252
170	257	1246
171	257	1240
172	258	1234
173	258	1228
174	259	1223
175	259	1217
176	260	1211
177	261	1205
178	261	1200
179	262	1194
180	262	1189
181	263	1183
182	264	1178
183	264	1173
184	265	1168
185	265	1163
186	266	1157
187	266	1152
188	267	1147
189	268	1142
190	268	1137
191	269	1133
192	269	1128
193	270	1123
194	270	1118
195	271	1113
196	272	1109
197	272	1104
198	273	1099
199	273	1095
200	274	1090
201	274	1086
202	275	1081
203	276	1077
204	276	1073
205	277	1068
206	277	1064
207	278	1060
208	279	1055
209	279	1051
210	280	1047
211	280	1043
212	281	1039
213	281	1035
214	282	1031
215	283	1027
216	283	1023
217	284	1019
218	284	1015
219	285	1011
220	285	1007
221	286	1004
222	287	1000
223	287	996
224	288	992
225	288	989
226	289	985
227	289	981
228	290	978
229	291	974
230	291	970
231	292	967
232	292	963
233	293	960
234	293	956
235	294	953
236	295	950
237	295	946
238	296	943
239	296	939
240	297	936
241	298	933
242	298	930
243	299	927
244	300	924
245	300	921
246	301	918
247	302	915
248	302	912
249	303	909
250	303	907
251	304	904
252	305	902
253	306	899
254	306	896
255	307	893
256	308	890
257	308	888
258	309	885
259	310	883
260	311	881
261	312	879
262	312	877
263	313	874
264	314	871
265	315	869
266	315	866
267	316	863
268	316	860
269	317	858
270	318	856
271	318	853
272	319	851
273	320	848
274	320	846
275	321	843
276	322	841
277	322	838
278	323	836
279	324	834
280	325	831
281	326	830
282	327	829
283	328	827
284	328	825
285	329	822
286	330	820
287	331	818
288	331	816
289	332	813
290	333	811
291	333	809
292	334	807
293	335	804
294	335	802
295	336	799
296	336	797
297	337	795
298	338	793
299	339	791
300	340	789
301	340	787
302	341	785
303	342	783
304	342	780
305	343	778
306	343	776
307	344	774
308	345	772
309	346	770
310	346	768
311	347	766
312	348	764
313	348	761
314	349	759
315	350	757
316	351	756
317	351	754
318	352	752
319	353	750
320	353	748
321	354	746
322	354	743
323	355	741
324	356	739
325	356	737
326	357	735
327	357	733
328	358	731
329	358	728
330	359	726
331	360	724
332	360	722
333	361	720
334	361	718
335	362	716
336	362	714
337	363	711
338	364	709
339	364	707
340	365	705
341	365	703
342	366	701
343	366	699
344	367	697
345	368	695
346	368	693
347	369	691
348	369	689
349	370	687
350	371	686
351	371	684
352	372	682
353	373	680
354	373	678
355	374	676
356	375	675
357	375	674
358	376	672
359	377	671
360	378	669
361	378	667
362	379	665
363	380	664
364	380	662
365	381	660
366	381	658
367	382	656
368	382	654
369	383	652
370	384	651
371	384	649
372	385	647
373	385	645
374	386	643
375	386	642
376	387	640
377	387	638
378	388	636
379	389	634
380	389	633
381	390	631
382	390	629
383	391	628
384	392	626
385	392	624
386	393	622
387	393	621
388	394	619
389	394	617
390	395	616
391	396	614
392	396	612
393	397	611
394	397	609
395	398	607
396	399	606
397	399	604
398	400	602
399	400	601
400	401	599
401	402	598
402	402	596
403	403	594
404	403	593
405	404	591
406	404	589
407	405	588
408	406	586
409	406	585
410	407	583
411	407	581
412	408	580
413	409	578
414	409	577
415	410	576
416	411	574
417	411	573
418	412	571
419	412	570
420	413	568
421	414	567
422	414	565
423	415	564
424	415	562
425	416	561
426	416	559
427	417	558
428	418	556
429	418	555
430	419	553
431	419	551
432	420	550
433	420	548
434	421	547
435	422	546
436	422	544
437	423	543
438	423	541
439	424	540
440	425	538
441	425	537
442	426	535
443	426	534
444	427	532
445	427	531
446	428	530
447	429	528
448	429	527
449	430	525
450	430	524
451	431	523
452	432	521
453	432	520
454	433	518
